ApplicableEntity,Type
IfcBeam,IfcStructuralCurveMember
IfcBuiltElement,IfcTask
IfcColumn,IfcStructuralCurveMember
IfcColumn,IfcTask
IfcDistributionControlElement,IfcTask
IfcDistributionControlElement,IfcProcedure
IfcDistributionControlElement,IfcEvent
IfcDistributionPort,IfcDistributionSystem
IfcDistributionPort,IfcDistributionCircuit
IfcMember,IfcStructuralCurveMember
IfcMember,IfcTask
IfcPlate,IfcStructuralSurfaceMember
IfcPlate,IfcTask
IfcSlab,IfcStructuralSurfaceMember
IfcSlab,IfcTask
IfcWall,IfcStructuralSurfaceMember
IfcWall,IfcTask
